Signal Name,Used?,Physical Units,Source,Type,% Error,Last-Modification Date,Range [Max],Range [Min],Fwd EU Expression,Rvr EU Expression,Uncertainty Expression,Fwd EU Calibration Points,Rvr EU Calibration Points
Ph_B_VARS,Not Used,VARs,Calculated,VARS,N/A,"Thursday, October 16, 2008  12:55:14 PM",10,-10,"VARS(Ph_B_VA,Ph_B_WATTS)",,,,
Ph_B_PF,Not Used,n/a,Calculated,,N/A,"Thursday, October 16, 2008  12:55:33 PM",10,-10,Ph_B_WATTS/Ph_B_VA,,,,
Ph_C_VA,Not Used,VA,Calculated,VA,N/A,"Thursday, October 16, 2008  12:55:42 PM",10,-10,"VA(PhC_V_INV,PhC_I_INV)",,,,
Ph_C_WATTS,Not Used,Watts,Calculated,Watts,N/A,"Thursday, October 16, 2008  12:55:55 PM",10,-10,"Watts(PhC_V_INV,PhC_I_INV)",,,,
Ph_C_VARS,Not Used,VARs,Calculated,VAR,N/A,"Thursday, October 16, 2008  12:56:05 PM",10,-10,"VARS(Ph_C_VA,Ph_C_WATTS)",,,,
Ph_C_PF,Not Used,n/a,Calculated,,N/A,"Thursday, October 16, 2008  12:56:12 PM",10,-10,Ph_C_WATTS/Ph_C_VA,,,,
Total_INV_VA,Not Used,VA,Calculated,VA,N/A,"Thursday, October 16, 2008  12:56:16 PM",10,-10,(PhA_VA+Ph_B_VA+Ph_C_VA),,,,
Total_INV_WATTS,Not Used,Watts,Calculated,WATTS_,N/A,"Tuesday, April 26, 2011  2:01:23 PM",10,-10,(DC_1_WATTS+DC_2_WATTS),,,,
Total_INV_VARS,Not Used,VARs,Calculated,VARS,N/A,"Thursday, October 16, 2008  12:56:29 PM",10,-10,(PhA_VARS+Ph_B_VARS+Ph_C_VARS),,,,
Total_INV_PF,Not Used,n/a,Calculated,,N/A,"Thursday, October 16, 2008  12:56:34 PM",10,-10,Total_INV_WATTS/Total_INV_VA,,,,
DC_1_WATTS,Used,Watts,Calculated,Complex_Power,N/A,"Tuesday, April 26, 2011  3:02:12 PM",10,-10,"WATTS(DCV_1,DCI_1)",,,,
DC_2_WATTS,Used,Watts,Calculated,Complex_Power,N/A,"Tuesday, April 26, 2011  3:02:21 PM",10,-10,"WATTS(DCV_2,DCI_2)",,,,
Total_DC_WATTS,Used,,Calculated,Complex_Power,N/A,"Tuesday, April 26, 2011  3:09:50 PM",10,-10,DC_1_WATTS+DC_2_WATTS,,,,
INV_EFF,Used,%,Calculated,Complex_,N/A,"Wednesday, March 19, 2014  1:38:14 PM",10,-10,(PhA_WATTS/Total_DC_WATTS)*100,,,,
THD_Ph_A_V,Used,voltage,Calculated,current,N/A,"Thursday, October 16, 2008  12:56:59 PM",10,-10,Thd(PhA_V_INV),,,,
THD_Ph_A_I,Used,current,Calculated,current,N/A,"Thursday, October 16, 2008  12:57:02 PM",10,-10,Thd(PhA_I_INV),,,,
THD_Ph_B_I,Not Used,current,Calculated,,N/A,"Thursday, October 16, 2008  12:57:06 PM",0,0,Thd(PhB_I_INV),,,,
THD_Ph_C_I,Not Used,current,Calculated,,N/A,"Thursday, October 16, 2008  12:57:09 PM",10,-10,Thd(PhC_I_INV),,,,
Freq_Ph_A_V,Used,Frequency,Calculated,,N/A,"Wednesday, November 19, 2008  8:07:07 AM",10,-10,1.001043*Freq(PhA_V_INV),,,,
